Code,Description1,Description2,Brand,BrandType,Location,OnHand,Unit,Value,TrackItem,MinQty,ExtraData
1420401145,ULTRAMAT 23 230V 50HZ 60VA,P/N:7MB2338-0AK10-3NW1 M&C,,,,0,,115392,FALSE,0,
1300114508,FLOW CONTROL VALVE.PN.EDELLE2P,FOR CALCINER GAS VALVE TRAIN,,,M-29-Z0-03,1,,107044,FALSE,0,
1420401187,"RECEIVER CHAMBER 1 SOX,C79451-A3468-B523",F/ULTRAMAT 23-GAS ANALYZER,,,,0,,100556,FALSE,0,
1400103005,"MOTOR 22KW,440V,100/1000RPM","TYPE:GNR200S 42F,IM1001,IP54",,,,0,,99974,FALSE,0,
1300114509,FLOW CONTROL VALVE PN.EDELLE2P,GAS VALVE TRAIN OF AUX. BURNER,,,M-29-BA-03,1,,88399,FALSE,0,
