Code,Description1,Description2,OnHand,Value
1320501247,CLAMP SET 7005 ECOLOC-100*145,F/ LINE2 623RA18 DESIGN RDG SERIES 21 RINGFEDER,1,"5,983"
1320501741,CLASSIFIER VANS DWG:158043-1,F/ LINE2 CLASSIFIER HARDOX 500 ,0, -   
1320501013,COMPENSATOR P/N:10021252 DWG KMP280 L2,FLENDER F/MAIN GEAR UNIT R KMP 280,1,"4,230"
1320501012,COMPENSATOR P/N:10061747 DWG KMP280 L3,"F/MAIN GEAR UNIT,FLENDER  KMP 280",1,"6,076"
1320501139,CONDITIONER F/COMPRESSED AIR,F/DUST FEEDING SYS. MULTICOR K50,1,"35,173"
1320501065,COUPLING PADS P/N:58402289  DWG 160-067-3 L2,F/SEPAR. SLS 1800 BK ASS,1,984
1320501145,COUPLING RUBBER ELEMENT RWN285,F/LINE2 BOOSTER FAN WITH PINS,1,"13,678"
1220310045,COUPLING SLEEVE DWG:6151029/D,F/L2 GEAR BOX,0, -   
1320501667,COVER P/N:866 DWG:141814-2,F/ROLLER STOP,3,"61,271"
1320501622,DAM RING DO2360XDI2344XW68MM,"HARDOX 450,F/L2 COAL MILL",1,"1,710"
1320504023,EARTHER PROTECTION 470X570,"SB-EX 450X5W7,F/L2 VACCUM CLEANER",1,"13,040"
1300407134,EARTHING BOLT REF.514986C,"F/328ES01,ELEX",0, -   
1300407135,EARTHING BOW FRONT REF.327114E,"F/328ES01,ELEX",0, -   
1300119002,ELBOW 90° EMB221-35,ADJUSTABLE THREADED ELBOW W/2 NUTS F/3706A-D ,2,285
1320501101,EXPLOSION DIVERTER TYPE:STT G2,"F/L2 EXPLOSION VENTS,DIVERTER&SILO-TOP",0, -   
1320504021,EXPLOSION VENT SB 470X570,F/COAL MILL VACCUM CLEANER,1,"42,031"
1321602026,BAG DATE JET PRINTER,"DOD 2002,(230V,50HZ,50MA)",1,"7,500"
1320501105,FILTER 800/8 W/FAN,"F/L2 EXPLOSION VENTS,DIVERTER&SILO-TOP",0, -   
1300302149,REPAIR KIT P/N 2906-0200-00 GA250,F/GA200/315 ATLAS COPCO,2,"16,730"
1300302137,REPAIR KIT P/N 2901-1641-01 GA30,ATLAS COPCO,2,"7,300"
1300407139,FIXING TRAVERSE REF.226333B,"F/328ES01,ELEX",0, -   
1320501157,SEAL FLAT  D840/800XT3MM DN800,"ART.NO:00000400,F/L2 COAL MILL",4,969
1320701626,HOSE FLEXIBLE  FCB TDN50,FCB TDN50 L2080MM L2,2,"13,734"
1320501025,PIPE FLEXIBLE CONNECTOR P/N:33,HYDAC HYDRA. UNIT DWG 8600007808-01 L2,1,"2,680"
1320501031,FLOW DIVIDER ITEM NO.20 DWG:8600007808-01,F/HYDAC HYDRA. UNIT,1,"11,212"
1320501445,FLOW INDICATION TYPE:SI5010,F/CO2 INERTING SYSTEM YARAC100C70:C103C70:C96,2,"38,972"
1320501637,GRINDING ROLLER STOP P/N:766 DWG:140051,"W/ACCESSORIES,F/L2 COAL MILL",3,"30,559"
1300407142,GUIDE BAR REF.227800,"F/328ES01,ELEX",0, -   
1320501594,"HEX. SOCKET BOLT P/N:0322,01 DWG:159486-1","M10X0030-8.8-A2B,DWG:159486-1,F/L2 ",0, -   
1320501598,"HEX. SOCKET BOLT P/N:0323,01 DWG:159486-1","M12X0040-8.8-A2B,DWG:159486-1,F/L2 ",0, -   
1320501231,"HOSE SUS 1/2""XL6000MM 70BAR DWG:BKG9002","DWG:BKG9002,F/SOLID FUEL BURNER COAL MILL",1,700
1300317512,HOSE ASSY. P/N:39816954,DWG:BCC1 M60 CP 010 F/920CM01-06,2,"7,961"
1300110060,HOSE P/N C26261-365,"D25/27XL1010MM, F/3705A-D",1,987
1300110061,HOSE P/N C26281-366,"D24/25XL4000MM, F/3705A-D",1,950
1300109023,HOSE P/N C26281-367,"D40/55XL550MM, F/3705A-D",1,"2,256"
1300302374,HOSE P/N:1622573900 GA30,"W/2 O-RING 69.5X3,P/N:0663713600 ATLAS COPCO",1,"5,000"
1320501175,IDLER CARRY UB ML 61X950/SW15 P/N: 84829190,F/ LINE2 MULTICELL E,3,"4,942"
1300603056,IMPELLER SN329903/06 F/3706A-D AERZENER, DS75MM 14 BLADE,1,"4,418"
1320501043,INNER RING P/N:10061664 DWG 170 987-2, F/COAL MILL L2,2,"2,785"
1300317513,REPAIR KIT  P/N92999812,"REPAIR KIT P/N92999812,F/920-CM01",4,"11,773"
1300317511,HOSE ASSY. P/N:22991913,F/920CM01-06,2,"2,690"
1300301014,HOSE ASSY. P/N:22995443,F/COMPRESSOR 920CM01-06,1,"20,000"
1300301016,HOSE ASSY. P/N:24621484,F/COMPRESSOR 920CM01-06,1,"6,000"
1300301029,ELEMENT FILTER HE4132 PN:92452911,HE4132 PN:92452911 F/ 920CM01-06,6,"70,200"
1300317514,REPAIR KIT F/920-CM01,COMPRESSOR 920-CM01,4,"13,125"
1300301027,SEAL SHAFT  PN:89292445 F/ 920CM01-06,COMPRESSOR R160,1,"7,750"
1300301039,REPAIR KIT P/N:42480491,COMPRESSOR IR160 BSF 920CM 01-06,1,"49,000"
1300317021,REPAIR KIT F/ SUCTION REGULATOR,DIAPH SPRING ORING GASKT BOLT F/3705A-D,2,"1,390"
1300317022,REPAIR KIT F/VALVE ,DIAPH SPRING ORING GASKT WASH F/3705A/D,2,139
1300317023,REPAIR KIT F/VALVE F/MIN PRESSURE ,DIAPH SPRING ORING NUTS F/3705A-D,9,"2,015"
1300302244,OIL COOLER PN:A115 131 74 POS:108.2,F/SIRUIS L132 COMPRESSOR COMPAIR,0, -   
1320501627,LABYRINTH WEAR RING  DWG:145709-2,HARDOX 450 F/L2 COAL MILL,0, -   
1320504024,"LEVEL GUARD KAX 240 VAC ATEX,P/N:0702020",F/COAL MILL VACCUM CLEANER,1,"24,057"
1320504027,"LINING P/N:11-057,F/BUTTERFLY VALVE 250",F/COAL MILL VACCUM CLEANER,1,"2,458"
1320501585,LINING P/N:732 ID:158049.24 DWG:171001-0,F/L#2 COAL MILL WATER INJECTION,4,"10,059"
1320501047,WASHER LOCKING  P/N:55103300 DWG:170 987-2,F/L2 COAL MILL SEAL AIR PIPING ASSEM.,0, -   
1320501046,WASHER LOCKING  P/N:55103302 DWG:171 001 -0,F/L2 COAL MILL,0, -   
1320501628,LINER LOUVER RING  DWG:111703,F/L2 COAL MILL,1,"4,500"
1320501180,GAUGE PRESSURE 0-1 BAR 18-013-893 NORGREN,"P/N :90262040,F/COAL DUST FEEDING SYSTEM MULTI",1,"3,000"
1320501140,MASS FLOW F/FEEDING SYSTEM,F/DUST FEEDING SYS. MULTICOR K50,1,"650,686"
1320501141,MEASURING WHEEL W/PTFE LINING,F/L2 DUST FEEDING SYS. MULTICOR K50,0, -   
1320501599,"NORD-LOCK LOCKING WASHER P/N:0323,02","DWG:159486-1,F/L2 COAL MILL",0, -   
1320501595,"NORD-LOCK LOCKING WASHER P/N:0322,02","DWG:159486-1,F/L2 COAL MILL",0, -   
1320501262,NOZZLE D20 P/N:D20 FJ165 CODE CUGE 010 ,"DWG:BF A8 01 ,F/REDECAM FILTER L2",3,203
1320501136,NOZZLE DWG:21/37921/0.4,RING D 610MM CALCINER BURNER L2,2,"176,863"
1320501049,NUT P/N:55102210  DWG:171 001-0,F/L2 COAL MILL,0, -   
1300317091,REPAIR KIT OIL COOLER  NO.C11158/58202,O.RING META F/3705A-D,14,794
1300301017,OIL COOLER P/N:P/N:23014350,F/920CM01-06 F/COMPRESSOR R160,1,"160,000"
1300317037,OIL COOLER S/N:329903/06 HC41206.00,"P/N:123087000, AERZENER COMPRESSOR VM537",1,"15,564"
1300302375,OIL FILTER P/N:162539000 DWG:4SV-6899, S/N:4020661&62 F/VML 60,3,"3,664"
1300317047,OIL GUIDE JET,F/3706A-D,4,268
1320501727,"OIL PLUG 3/4""",F/L2 GRINDING ROLLER,0, -   
1300403031,OIL SEPARATOR P/N:A11427274,D=440MM L=340MM F/3708,2,"23,055"
1300301015,HOSE P/N:22995484,F/COMPRESSOR R160,6,"25,500"
1320501609,BUSHING OUTER SPACER  P/N:0347 DWG:159486-1,F/ L2 COAL MILL,2,"73,185"
1300407507,PACKING FOR STUFFING BOX,ELEX M1794.BCC1 M17 EPH 62,1,453
1300407517,PIN WHEEL F/DISCHARGE RAPPING,"ELEXM 2217,BCC1 M17 EPH 80",1,"21,450"
1320501142,PINION & PULLEY,"F/COAL MILL,DUST FEEDING SYS. MULTICOR K50",1,"6,490"
1330421004,PIPE P/N:1615604201,ATLAS COPCO COMPRESSOR ,0, -   
1330421005,PIPE P/N:1615604500,ATLAS COPCO COMPRESSOR ,0, -   
1320501050,PISTON PUMP ITEM NO. 2 DWG:8600007808-01,"F/COAL MILL,HYDAC HYDRA. UNIT",1,"7,738"
1220310042,PLANETARY AXLE DWG: 6366496/B,F/L2 COAL MILL GEAR BOX,0, -   
1321611118,PLASTIC COVER W/HOSE 6MM,F/COMPRESSOR,0, -   
1320501051,GAUGE PRESSURE  ITEM NO. 35 DWG:8600007808-01,"F/COAL MILL,HYDAC HYDRA. UNIT",1,955
1320501074,FAN RADIAL  KXA050-180015-01,SINGLE INLET W/SHAFT 1500 RPM F/BOOSTER FAN L2,1,"72,677"
1300407508,RAPPING HAMMER COLLECTING,"ELEX225290,BCC1 M19 EPH 08",10,"13,832"
1300407510,RAPPING HAMMER DISCHARGE,"ELEX227817,BCC1 M19 EPH 10",6,"6,186"
1300407509,RAPPING HAMMER PERFORATED,"ELEX226451,BCC1 M19 EPH 05",4,"6,202"
1300407518,RATCHET FOR PIN WHEEL,"ELEXM 2218,BCC1 M17 EPH 81",1,"4,350"
1320501055,REPAIR KIT ITEM NO. 36 DWG:8600007808-01,F/L2 HYDAC HYDRA. UNIT,0, -   
1320501054,"REPAIR KIT ITEM NO. 8 ,DWG:8600007808-01",F/L2 HYDAC HYDRA. UNIT,0, -   
1320501150,RETAINING DEVICE 0.02 BAR,"ART.N: 00009522,F/L#2 COAL MILL",2,"14,664"
1320501161,RETAINING DEVICE 0.08 BAR,"ART.N: 00009529,F/L#2 COAL MILL",2,"15,040"
1300317039,RETAINING STEEL RING,DO198XDI190XW40MM F/3706A-D,4,"1,410"
1220601004,SEALING RING GRAPHITE,OD90XID70XL20MM L2,2,660
1300407512,ROLLER AND BUSH F/SHAFT BRG,"ELEXM 2216,BCC1 M17 EPH 65",8,"2,182"
1320501057,ROLLER P/N:10012104 DWG 171 001-0 L2,F/COAL MILL,2,"3,047"
1320501277,ROLLER TYRE P/N:311 DWG:159486-1&144465-2,W/FITTINGS F/COAL MILL MPS 225 BK ,0, -   
1320504025,RUBBER MEMBRANE P/N:6041200 ATM VALVE,"ATM VALVE,F/COAL MILL VACCUM CLEANER",2,"2,587"
1320501626,SCATTER RING DWG:2BKG9007,F/L2 COAL MILL,1,"5,255"
1320501202,SCRAPER GLA - P/N:V057590.B04 BB=1200 - ST,"P/N:V057590.B04,F/COAL MILL MULTIDOS MTD-E 1245",1,"3,072"
1320501592,SCRAPER DWG:145826-2,"(155X240MM)(510X100MM)DWG:145826-2,F/L2",1,"1,350"
1300317036,SEALING BRUSH STEEL,D180XDI153/135/120XW41MM F/3706A-D,2,"8,344"
1220504501,SEALING FOR INSPECTION DOOR,"ELEX M2071,BCC1 M17 EP H06",4,"3,719"
1320501603,"SEALING RING P/N:0331,00 DWG:159486-1",290X330X18-FPM  F/RADIAL SHAFT L2 COAL MILL,6,"13,402"
1320501593,"SEALING RING P/N:322,00 DWG:159486-1",F/INNER SEAL AIR L2 COAL MILL,1,"25,018"
1320501597,"SEALING RING P/N:323,00 DWG:159486-1",F/OUTER SEAL AIR L2,1,"23,548"
1320501629,SEALING RING  DWG:111705,F/L2 COAL MILL,0, -   
1320501618,SHIMMING 10MM DWG:2BKG9037,F/L2 COAL MILL ROLLER STOPPER PLATE,3,330
1320501615,SHIMMING 3MM DWG:2BKG9034,F/L2 COAL MILL ROLLER STOPPER PLATE,3,210
1320501616,SHIMMING 5MM DWG:2BKG9035,F/L2 COAL MILL ROLLER STOPPER PLATE,3,330
1320501617,SHIMMING 6MM DWG:2BKG9036,F/L2 COAL MILL ROLLER STOPPER PLATE,3,270
1320501673,SHOCK ABSORBER TYPE:W1-443,F/L2 COAL MILL FAN 623-FA55,0, -   
1320101132,SIDE GUIDE ROLLER ASSEMBLY P/N:ARUO060.000,F/CLAY CRUSHER APRON FEEDER  BEDESCHI,7,"39,567"
1320501159,SILICONE VACCUM BREAKER SEAL,ARTICLE NO#00000124 F/L2 COAL MILL,12,"6,395"
1220310165,SLOTTED NUT,F/L2 COAL MILL GEAR BOX,0, -   
1300317025,RING STEEL SPRITZ SPLASH ,W/2THR.HOLES D123/90 DI80 W16 F/3706A-D,2,"11,917"
1300407140,STABILIZING BAR REF.227798,"F/328ES01,ELEX EP FILTER",0, -   
1300407141,STABILIZING BAR REF.227799,"F/328ES01,ELEX EP FILTER",0, -   
1300113101,STEEL PLUG 1'' W/MAGNATIC,"ROLLERS,SOCKET CAP HEAD,F/L2 COAL MILL",3,"1,350"
1320501067,STUD BOLT PN 10021216 DWG:171 001-0,F/L2 COAL MILL,0, -   
1320501068,STUD  BOLT PN 55102158 DWG:170 987-2,F/L2 COAL MILLSEAL AIR PIPING ASSEMBLY,0, -   
1300302411,SUCTION PIPE P/N:1621939200,ATLAS COPCO F/COMPRESSOR GA 250 AIF120919,0, -   
1300302410,SUCTION PIPE P/N:1621955200,ATLAS COPCO F/COMPRESSOR GA 250 APF145926,0, -   
1300407515,SUSPENSION INSULATOR DISCHARG,ELEXM 1690.BCC1 M17 EPH 77,1,"8,107"
1300407516,BEARING SWING F/ECCENTRIC-UNIT,ELEXM 1610.BCC1 M17 EPH 76,1,"1,429"
1320501186,SYNCHRONOUS DISC 31-HTD5M /67 P/N:84839089,F/COAL DUST FEEDING SYS.MULTICORE K,1,"2,220"
1320501208,DRUM TAIL P/N V071199.B42,F/COAL MILL MULTIDOS E 860,1,"7,301"
1320501671,RING TENSION  P/N 312 DWG. 159486-1,ACC.TO CS-20-006/008  L2 COAL MILL,3,"26,031"
1320501070,TOP SOCKET P/N:10009674 DWG:171 001-0,F/COAL MIL,2,"16,949"
1300302383,"TUBE ASSEMBLY,P/N:16,W/ACCES. P/N:15&17",F/L2 COMPRESSOR INGERSOL RAND IR160,2,"19,580"
1300302382,"TUBE ASSEMBLY,P/N:23,W/ACCES. P/N:15&17",F/L2 COMPRESSOR INGERSOL RAND IR160,2,"19,600"
1300302381,"TUBE ASSEMBLY,P/N:6,W/ACCES. P/N:2,3,4&5",F/L2 COMPRESSOR INGERSOL RAND IR160,2,"31,900"
1320501225,UNION CODE 65321786 DWG 62,F/COAL MILL HOT GAS GENERATOR HFO BURNER,1,282
1300407511,WASHER FITTING F/ HAMMERS,"ELEXM 0305,BCC1 M17 EPH 72",60,70
1320501625,WATER PIPE DWG:158042-0 POS.:X,"ANTI-WEAR MAT.,F/L2 COAL MILLWATER SPRAY",0, -   
1320501624,WATER PIPE DWG:158042-0 POS.:Y,"ANTI-WEAR MAT.,F/L2 COAL MILLWATER SPRAY",0, -   
1300407519,WEARING PART FOR RATCHET,"ELEXM 1766,BCC1 M17 EPH 81",3,"4,618"
1320501149,WEATHER PROTECTION POLYURETHAN,"ART.N: 00000143F/L2 ,COAL MILL RETAINING DEVICE",7,"3,090"
1320901042,CONE FOR CYCLONIC SEPERATOR D5700/700,"H6967XT8MM , MAT:HARDOX",0, -   
1300201514,ACTAUTAOR SINGLE ACTING T:-20°C +90°C,P:0-8BAR CONT.& 10BAR Max. W/ 3PIECE,0, -   
1300201513,ACTAUTAOR SINGLE ACTING T:-20°C +90°C,P:0-8BAR CONT.& 10BAR Max. F/L1 GCT,0, -   
1400105026,ACTUATOR CAP AIR BREATHER STD-906,"P/N:18,F/2720A",3,"2,271"
1400105024,ACTUATOR COCK TRANSFER OP-6C-10.00,F/2720A,1,"16,735"
1400105017,ACTUATOR ELECTRO HYD. SIZE25,JIS 40K EOP4-Y26-V25X40K W/SPH,1,"178,297"
1400105018,ACTUATOR OIL SUPPLY BLOCK D30x50,"F/2720A,2526A-B,2803A-B02",6,"4,022"
1300401135,ACTUATOR PNEUMATIC TYPE AVS:80DA00,F/L1 INTEGRATED FILTER OUTLET DAMPER,2,"16,586"
1300801504,ACTUATOR PNEUMATIC TYPE:AT55 510 A,"P/N:F10/F12-N-D-21,F/323DB15",1,"7,669"
1320701686,ACTUATOR THERMOSTATIC TYPE:NTP 200,F/CMC 436-MB10,1,"45,574"
1400105025,ACTUATOR THROTTLE VARIABLE STD-902,F/2720A,2,"8,410"
1320501144,ACTUATOR TYPE:SAR07.6 GF100,F/ LINE2 BOOSTER FANLEVER DESIGN,0, -   
1201206008,ADHESIVE EPOXY RESIN&HARDENER(DEFECON),,2,143
1201206021,ADHESIVE LOCTITE 243,NUTLOCK/THREADLOCK,3,"1,520"
1201206022,ADHESIVE LOCTITE 270,STUDLOCK,2,463
1201206028,ADHESIVE LOCTITE 401,EQ. LOCTITE 406,0, -   
1201206033,ADHESIVE LOCTITE 574,F/BEARING SEALING,6,"1,650"
1201206029,ADHESIVE LOCTITE 638,BEARING RETAINING,2,980
