Id,Partition,Code,Description,Type,Extra,Shop,ShopExtra,Brand,BrandType,,,,,
,Public,428DC29,Exhaust Fan,Bag Filter,1,CMB,,,,,,,,
,Public,502DC21,Bag Filter Exhaust Fan (Silo A),Bag Filter,1,Packing,,,,,,,,
,Public,502DC43,Bag Filter Exhaust Fan (Silo B),Bag Filter,1,Packing,,,,,,,,
,Public,502DC65,Bag Filter Exhaust Fan (Silo C),Bag Filter,1,Packing,,,,,,,,
,Public,502DC87,Bag Filter Exhaust Fan (Silo D),Bag Filter,1,Packing,,,,,,,,
,Public,513DC21,Bag Filter Screw Conveyor,Bag Filter,1,Packing,,,,,,,,
,Public,523DC21,Bag Filter Screw Conveyor,Bag Filter,1,Packing,,,,,,,,
,Public,533DC21,Exhaust Fan ,Bag Filter,1,Packing,,,,,,,,
,Public,543DC21,Exhaust Fan ,Bag Filter,1,Packing,,,,,,,,
,Public,623DC31,Trace Heating System for Filter Hoppers,Bag Filter,2,Coal2,,,,,,,,
,Public,314DG47,Chain Conveyor,Chain Conveyor,1,EP Filter,,,,,,,,
,Public,314DG93,Chain Conveyor,Chain Conveyor,1,EP Filter,,,,,,,,
,Public,314DG99,Chain Conveyor,Chain Conveyor,1,EP Filter,,,,,,,,
,Public,318DG25,Chain Conveyor,Chain Conveyor,1,Cooler1,,,,,,,,
,Public,319DG01,Drag Chain Conveyor,Chain Conveyor,1,Cooler1,,,,,,,,
,Public,319DG03,Drag Chain Conveyor,Chain Conveyor,1,Cooler1,,,,,,,,
,Public,328DG02,CHAIN CONVEYOR UNDER ELECTROFILTER,Chain Conveyor,2,Cooler2,,,,,,,,
,Public,328DG03,CHAIN CONVEYOR UNDER ELECTROFILTER,Chain Conveyor,2,Cooler2,,,,,,,,
,Public,328DG06,CHAIN CONVEYOR UNDER ELECTROFILTER,Chain Conveyor,2,Cooler2,,,,,,,,
,Public,329DG08,SPILLAGE CONVEYOR,Chain Conveyor,2,Cooler2,,,,,,,,
,Public,216DR27,Raw Mill A Main,Mill,1,RMA,,,,,,,,
,Public,226DR27,Raw Mill B,Mill,1,RMB,,,,,,,,
,Public,316DR27,Kiln Main Drive,Kiln,1,Kiln1,,,,,,,,
,Public,316DR29,Kiln Main Drive,Kiln,1,Kiln1,,,,,,,,
,Public,317DR13,Cooler Grate #1,Cooler,1,Cooler1,,,,,,,,
,Public,317DR15,Cooler Grate #2,Cooler,1,Cooler1,,,,,,,,
,Public,317DR17,Cooler Grate #3,Cooler,1,Cooler1,,,,,,,,
,Public,326DR03,Kiln,Kiln,2,Kiln2,,,,,,,,
,Public,416DR13,Cement Mill A,Mill,1,CMB,,,,,,,,
,Public,426DR13,Cement Mill B,Mill,1,CMB,,,,,,,,
,Public,623DR10,Coal Mill,Mill,2,Coal2,,,,,,,,
,Public,623DR20,Gearbox,Mill,2,Coal2,,,,,,,,
,Public,313DT53,Tertiary Air Pressure,Duct,1,Kiln1,,,,,,,,
,Public,313EL01,Personal Elevator,Personal Elevator,1,Kiln1,,,,,,,,
,Public,314EP21,E.P Filter,EP Filter,1,EP Filter,,,,,,,,
,Public,314EP67,E.P Filter,EP Filter,1,EP Filter,,,,,,,,
,Public,328ES01,#N/A,EP Filter,2,Kiln2,,,,,,,,
,Public,623EX57,CO2 Inerting System,CO2 Inerting System,2,Coal2,,,,,,,,
,Public,105FA05,FAN FILTER 105DC04,Fan,2,RMC,,,,,,,,
,Public,164FA01,Clay Crusher Bag Filter Fan,Fan,1,RMA,,,,,,,,
,Public,200FA08,FAN FILTER 200DC06,Fan,2,RMC,,,,,,,,
,Public,200FA10,FAN FILTER 200DC05,Fan,2,RMC,,,,,,,,
,Public,200FA12,FAN FILTER 200DC02,Fan,2,RMC,,,,,,,,
,Public,202FA15,FAN FILTER 202DC03,Fan,2,RMC,,,,,,,,
,Public,202FA17,FAN FILTER 202DC05,Fan,2,RMC,,,,,,,,
,Public,202FA19,FAN FILTER 202DC08,Fan,2,RMC,,,,,,,,
,Public,202FA21,FAN FILTER 202DC10,Fan,2,RMC,,,,,,,,
,Public,202FA24,FAN FILTER 202DC23,Fan,2,RMC,,,,,,,,
,Public,216FA57,Exhaust Fan,Fan,1,RMA,,,,,,,,
,Public,226FA57,Exhaust Fan,Fan,1,RMB,,,,,,,,
,Public,236FA20,FAN FILTER 236DC19,Fan,2,RMC,,,,,,,,
,Public,236FA30,FAN FILTER 236DC26,Fan,2,RMC,,,,,,,,
,Public,236FA50,SEAL AIR FAN,Fan,2,RMC,,,,,,,,
,Public,313FA47,Cooling Fan,Fan,1,Kiln1,,,,,,,,
,Public,313FA57,Primary Air Fan,Fan,1,Kiln1,,,,,,,,
,Public,313FA77,Cooling Fan,Fan,1,Kiln1,,,,,,,,
,Public,313FA79,ID Fan,Fan,1,Kiln1,,,,,,,,
,Public,314FA43,Fan,Fan,1,EP Filter,,,,,,,,
,Public,314FA89,Fan,Fan,1,EP Filter,,,,,,,,
,Public,316FA45,Fan,Fan,1,Kiln1,,,,,,,,
,Public,316FA47,Kiln Shell Cooling Fan A,Fan,1,Kiln1,,,,,,,,
,Public,316FA49,Kiln Shell Cooling Fan B,Fan,1,Kiln1,,,,,,,,
,Public,316FA51,Kiln Shell Cooling Fan C,Fan,1,Kiln1,,,,,,,,
,Public,316FA55,Cooling Fan,Fan,1,Kiln1,,,,,,,,
,Public,317FA51,Cooling Fan # 1A,Fan,1,Cooler1,,,,,,,,
,Public,317FA53,Cooling Fan # 1B,Fan,1,Cooler1,,,,,,,,
,Public,317FA55,Cooling Fan # 2,Fan,1,Cooler1,,,,,,,,
,Public,317FA57,Cooling Fan # 3,Fan,1,Cooler1,,,,,,,,
,Public,317FA59,Cooling Fan # 4,Fan,1,Cooler1,,,,,,,,
,Public,317FA61,Cooling Fan # 5,Fan,1,Cooler1,,,,,,,,
,Public,317FA63,Cooling Fan # 6,Fan,1,Cooler1,,,,,,,,
,Public,317FA65,Cooling Fan # 7,Fan,1,Cooler1,,,,,,,,
,Public,317FA67,Cooling Fan # 8,Fan,1,Cooler1,,,,,,,,
,Public,317FA69,Cooling Fan # 9,Fan,1,Cooler1,,,,,,,,
,Public,318FA15,Gravel Bed Fan,Fan,1,Cooler1,,,,,,,,
,Public,318FA17,Gravel Bed Fan,Fan,1,Cooler1,,,,,,,,
,Public,318FA21,Waste Fan,Fan,1,Cooler1,,,,,,,,
,Public,322FA15,FAN FOR AIR SLIDE 322AS16,Fan,2,Kiln2,,,,,,,,
,Public,322FA20,FAN FILTER 322DC03,Fan,2,Kiln2,,,,,,,,
,Public,322FA22,FAN FILTER 322DC06,Fan,2,Kiln2,,,,,,,,
,Public,322FA24,FAN FILTER 322DC10,Fan,2,Kiln2,,,,,,,,
,Public,322FA26,FAN FOR AIR SLIDE 322AS02,Fan,2,Kiln2,,,,,,,,
,Public,322FA27,FAN FOR AIR SLIDE 322AS11,Fan,2,Kiln2,,,,,,,,
,Public,322FA28,FAN FOR AIR SLIDE 322AS07,Fan,2,Kiln2,,,,,,,,
,Public,322FA29,FAN FOR AIR SLIDE 322AS11,Fan,2,Kiln2,,,,,,,,
,Public,322FA36,FAN FILTER 322DC35,Fan,2,Kiln2,,,,,,,,
,Public,323FA17,FRESH AIR FAN,Fan,2,Kiln2,,,,,,,,
,Public,323FA22,PRECALCINER COOLING FAN,Fan,2,Kiln2,,,,,,,,
,Public,323FA23,PRECALCINER COOLING FAN,Fan,2,Kiln2,,,,,,,,
,Public,323FA24,PRECALCINER PRIMARY AIR FAN,Fan,2,Kiln2,,,,,,,,
,Public,323FA25,PRECALCINER BURNER EMERGENCY COOLING AIR,Fan,2,Kiln2,,,,,,,,
,Public,325FA02,Fan,Fan,2,Kiln2,,,,,,,,
,Public,325FA09,BY PASS FAN,Fan,2,Kiln2,,,,,,,,
,Public,325FA37,FAN FILTER 325DC24,Fan,2,Kiln2,,,,,,,,
,Public,325FA51,Fan,Fan,2,Kiln2,,,,,,,,
,Public,326FA05,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA06,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA07,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA08,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA09,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA10,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA11,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA12,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA13,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA14,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA15,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA16,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA17,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA18,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA19,KILN COOLING SHELL FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA20,NOSE RING FAN 1,Fan,2,Cooler2,,,,,,,,
,Public,326FA21,NOSE RING FAN 2,Fan,2,Cooler2,,,,,,,,
,Public,326FA30,AUXILIARY BURNER FAN,Fan,2,Cooler2,,,,,,,,
,Public,326FA33,KILN PRIMARY AIR BLOWER,Fan,2,Cooler2,,,,,,,,
,Public,326FA34,COOLING FAN,Fan,2,Cooler2,,,,,,,,
,Public,327FA05,Cooler Fan No.1,Fan,2,Cooler2,,,,,,,,
,Public,327FA06,Cooler Fan No.2,Fan,2,Cooler2,,,,,,,,
,Public,327FA07,Cooler Fan No.3,Fan,2,Cooler2,,,,,,,,
,Public,327FA08,Cooler Fan No.4,Fan,2,Cooler2,,,,,,,,
,Public,327FA09,Cooler Fan No.5,Fan,2,Cooler2,,,,,,,,
,Public,327FA10,Cooler Fan No.6,Fan,2,Cooler2,,,,,,,,
,Public,327FA11,Cooler Fan No.7,Fan,2,Cooler2,,,,,,,,
,Public,327FA12,Cooler Fan No.8,Fan,2,Cooler2,,,,,,,,
,Public,327FA13,Cooler Fan No.9,Fan,2,Cooler2,,,,,,,,
,Public,327FA16,HYDRAULIC ROOM COOLING FAN,Fan,2,Cooler2,,,,,,,,
,Public,328FA07,EXHAUST FAN,Fan,2,Cooler2,,,,,,,,
,Public,329FA09,FAN FILTER 329DC07,Fan,2,Cooler2,,,,,,,,
,Public,329FA11,FAN FILTER 329DC03,Fan,2,Cooler2,,,,,,,,
,Public,331FA04,MULTIFLOW FEED SYSTEM FAN,Fan,2,RMC,,,,,,,,
,Public,331FA06,FAN FILTER 331DC05,Fan,2,Kiln2,,,,,,,,
,Public,331FA25,FAN FOR AIR SLIDE 331AS13,Fan,2,Kiln2,, 331AS10, 331AS07, 331AS19, 331AS06','','',''
,Public,331FA26,AXIAL FAN,Fan,2,Kiln2,,,,,,,,
,Public,331FA28,FAN FOR AIR SLIDE 331AS27,Fan,2,Kiln2,,,,,,,,
,Public,331FA30,FAN FILTER 331DC29,Fan,2,Kiln2,,,,,,,,
,Public,334FA01,ID FAN,Fan,2,Kiln2,,,,,,,,
,Public,334FA24,MILL FAN #C,Fan,2,RMC,,,,,,,,
,Public,334FA30,FINAL FAN,Fan,2,Kiln2,,,,,,,,
,Public,334FA35,FAN FOR AIR SLIDE 334AS21 & 334AS22,Fan,2,RMC,,,,,,,,
,Public,334FA39,FAN FILTER 334DC33,Fan,2,Kiln2,,,,,,,,
,Public,334FA40,FAN FOR AIR SLIDE 334AS32,Fan,2,Kiln2,,,,,,,,
,Public,416FA45,Exhaust Fan,Fan,1,CMA,,,,,,,,
,Public,423FA05,FAN FILTER 423DC11,Fan,2,CMC,,,,,,,,
,Public,423FA12,FAN FILTER 423DC04,Fan,2,CMC,,,,,,,,
,Public,423FA14,FAN FILTER 423DC03,Fan,2,CMC,,,,,,,,
,Public,423FA16,FAN FILTER 423DC07,Fan,2,CMC,,,,,,,,
,Public,423FA18,FAN FILTER 423DC10,Fan,2,CMC,,,,,,,,
,Public,426FA45,Exhaust Fan,Fan,1,CMB,,,,,,,,
,Public,431FA04,FAN FILTER 431DC03,Fan,2,Cooler2,,,,,,,,
,Public,432FA25,FAN FILTER 432DC23,Fan,2,CMC,,,,,,,,
,Public,432FA27,FAN FILTER 432DC43,Fan,2,CMC,,,,,,,,
,Public,432FA29,FAN FILTER 432DC13,Fan,2,CMC,,,,,,,,
,Public,432FA41,FAN FILTER 432DC24,Fan,2,CMC,,,,,,,,
,Public,436FA12,EXHAUST FAN,Fan,2,CMC,,,,,,,,
,Public,436FA20,EXHAUST FAN,Fan,2,CMC,,,,,,,,
,Public,436FA44,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,436FA58,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,436FA59,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,436FA60,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,436FA69,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,436FA70,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,436FA71,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,436FA76,FAN FOR FILTER 436DC45,Fan,2,CMC,,,,,,,,
,Public,436FA77,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,436FA78,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,436FA82,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,438FA02,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,438FA03,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,438FA05,FAN FOR FILTER 438DC04,Fan,2,CMC,,,,,,,,
,Public,438FA07,FAN FOR FILTER 438DC06,Fan,2,CMC,,,,,,,,
,Public,438FA10,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,438FA13,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,438FA15,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,438FA17,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,438FA19,FAN FOR FILTER 438DC18,Fan,2,CMC,,,,,,,,
,Public,438FA22,FAN FOR FILTER 438DC21,Fan,2,CMC,,,,,,,,
,Public,438FA24,FAN FOR FILTER 438DC23,Fan,2,CMC,,,,,,,,
,Public,438FA26,FAN FOR FILTER 438DC25,Fan,2,CMC,,,,,,,,
,Public,438FA28,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,438FA29,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,438FA30,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,438FA31,AIR SLIDE FAN,Fan,2,CMC,,,,,,,,
,Public,501FA65,Motor Fan For Blower Room,Fan,1,Packing,,,,,,,,
,Public,501FA67,Motor Fan For Blower Room,Fan,1,Packing,,,,,,,,
,Public,502FA15,Turbo Blower (Silo A),Fan,1,Packing,,,,,,,,
,Public,502FA37,Turbo Blower (Silo B),Fan,1,Packing,,,,,,,,
,Public,502FA59,Turbo Blower (Silo C),Fan,1,Packing,,,,,,,,
,Public,502FA81,Turbo Blower (Silo D),Fan,1,Packing,,,,,,,,
,Public,552FA07,AIR SLIDE FAN,Fan,1,Packing,,,,,,,,
,Public,552FA11,AIR SLIDE FAN,Fan,1,Packing,,,,,,,,
,Public,553FA10,FAN FILTER,Fan,1,Packing,,,,,,,,
,Public,5A2FA11,AIR SLIDE FAN,Fan,2,Packing,,,,,,,,
,Public,5A2FA71,AIR SLIDE FAN,Fan,2,Packing,,,,,,,,
,Public,5A3FA10,FAN FILTER,Fan,2,Packing,,,,,,,,
,Public,622FA18,Bag Filter Fan,Fan,2,Coal2,,,,,,,,
,Public,622FA26,Bag Filter Fan,Fan,2,Coal2,,,,,,,,
,Public,623FA25,Seal air fan,Fan,2,Coal2,,,,,,,,
,Public,623FA77,Booster Fan Feeder,Fan,2,Coal2,,,,,,,,
,Public,624FA37,Fan,Fan,2,Coal2,,,,,,,,
,Public,314FA69,Fan,Fan,1,EP Filter,,,,,,,,
,Public,912FA16,Fan,Fan,2,Utilities2,,,,,,,,
,Public,912FA17,Fan,Fan,2,Utilities2,,,,,,,,
,Public,912FA18,Fan,Fan,2,Utilities2,,,,,,,,
,Public,912FA19,Fan,Fan,2,Utilities2,,,,,,,,
,Public,912FA20,Fan,Fan,2,Utilities2,,,,,,,,
,Public,920FA12,Fan,Fan,2,Utilities2,,,,,,,,
,Public,920FA13,Fan,Fan,2,Utilities2,,,,,,,,
,Public,10BFE21,Belt Conveyor For Clay,Belt Conveyor,1,RMA,,,,,,,,
,Public,203FE03,Additive Belt Feeder Rope Switch,Belt Conveyor,1,RMA,,,,,,,,
,Public,312FG01,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG02,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG03,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG04,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG05,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG06,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG07,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG08,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG09,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG10,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG18,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG19,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG20,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG21,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG22,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG23,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG24,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG25,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG26,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG27,Flow Control Gate,Gate,1,Homo,,,,,,,,
,Public,312FG49,Flow Control Gate,Gate,1,Kiln1,,,,,,,,
,Public,312FG52,Flow Control Gate,Gate,1,Kiln1,,,,,,,,
,Public,502FG01,Flow Control Gate (Silo A),Gate,1,Packing,,,,,,,,
,Public,502FG03,Flow Control Gate (Silo A),Gate,1,Packing,,,,,,,,
,Public,502FG05,Flow Control Gate (Silo A),Gate,1,Packing,,,,,,,,
,Public,502FG07,Flow Control Gate (Silo A),Gate,1,Packing,,,,,,,,
,Public,502FG09,Flow Control Gate (Silo A),Gate,1,Packing,,,,,,,,
,Public,502FG11,Flow Control Gate (Silo A),Gate,1,Packing,,,,,,,,
,Public,502FG23,Flow Control Gate (Silo B),Gate,1,Packing,,,,,,,,
,Public,502FG25,Flow Control Gate (Silo B),Gate,1,Packing,,,,,,,,
,Public,502FG27,Flow Control Gate (Silo B),Gate,1,Packing,,,,,,,,
,Public,502FG29,Flow Control Gate (Silo B),Gate,1,Packing,,,,,,,,
,Public,502FG31,Flow Control Gate (Silo B),Gate,1,Packing,,,,,,,,
,Public,502FG33,Flow Control Gate (Silo B),Gate,1,Packing,,,,,,,,
,Public,502FG45,Flow Control Gate (Silo C),Gate,1,Packing,,,,,,,,
,Public,502FG47,Flow Control Gate (Silo C),Gate,1,Packing,,,,,,,,
,Public,502FG49,Flow Control Gate (Silo C),Gate,1,Packing,,,,,,,,
,Public,502FG51,Flow Control Gate (Silo C),Gate,1,Packing,,,,,,,,
,Public,502FG53,Flow Control Gate (Silo C),Gate,1,Packing,,,,,,,,
,Public,502FG55,Flow Control Gate (Silo C),Gate,1,Packing,,,,,,,,
,Public,502FG67,Flow Control Gate (Silo D),Gate,1,Packing,,,,,,,,
,Public,502FG69,Flow Control Gate (Silo D),Gate,1,Packing,,,,,,,,
,Public,502FG71,Flow Control Gate (Silo D),Gate,1,Packing,,,,,,,,
,Public,502FG73,Flow Control Gate (Silo D),Gate,1,Packing,,,,,,,,
,Public,502FG75,Flow Control Gate (Silo D),Gate,1,Packing,,,,,,,,
,Public,502FG77,Flow Control Gate (Silo D),Gate,1,Packing,,,,,,,,
,Public,512FG01,Flow Control Gate,Gate,1,Packing,,,,,,,,
,Public,512FG07,Flow Control Gate,Gate,1,Packing,,,,,,,,
,Public,522FG01,Flow Control Gate,Gate,1,Packing,,,,,,,,
,Public,522FG07,Flow Control Gate,Gate,1,Packing,,,,,,,,
,Public,532FG01,Flow Control Gate,Gate,1,Packing,,,,,,,,
,Public,532FG07,Flow Control Gate,Gate,1,Packing,,,,,,,,
,Public,542FG01,Flow Control Gate,Gate,1,Packing,,,,,,,,
,Public,542FG07,Flow Control Gate,Gate,1,Packing,,,,,,,,
,Public,571FG01,Flow Control Gate,Gate,1,Packing,,,,,,,,
,Public,572FG01,Flow Control Gate,Gate,1,Packing,,,,,,,,
,Public,164FR02, Clay Crusher  filter Fan,Fan,1,RMA,,,,,,,,
,Public,645FS01,Fuel Oil Transfer Pump,Pump,1,Utilities1,,,,,,,,
,Public,317FT19,Double Flap Damper,Damper,1,Cooler1,,,,,,,,
,Public,236FV16,VIBRATING CONVEYOR 1,Vibration Conveyor,2,RMC,,,,,,,,
,Public,432FV15,VIBRATING FEEDER 1,Vibration Conveyor,2,CMC,,,,,,,,
,Public,432FV16,Vibration Conveyor,Vibration Conveyor,2,CMC,,,,,,,,
,Public,432FV17,VIBRATING FEEDER,Vibration Conveyor,2,CMC,,,,,,,,
,Public,216GG21,Secondary Air Fan Outlet Damper,Fan,1,Homo,,,,,,,,
,Public,226GG21,Evaporative Cooler Inlet Damper,Damper,1,Homo,,,,,,,,
,Public,623GG10,Integrated Combustion Air Fan,Fan,2,Coal2,,,,,,,,
,Public,321GN01,Diesel Generator,Diesel Generator,2,Cooler2,,,,,,,,
,Public,325GO29,PELLETISER SCRATCHING OUT,PELLETISER,2,Kiln2,,,,,,,,
,Public,317GR05,Cooler Grate Supp. Temp,Cooler,1,Cooler1,,,,,,,,
,Public,325HD55,Compressed Air Dryer,Air Dryer,2,Kiln2,,,,,,,,
,Public,501HD59,Compressed Air Dryer,Air Dryer,1,Packing,,,,,,,,
,Public,501HD63,Compressor Air Dryer,Air Dryer,1,Packing,,,,,,,,
,Public,620HD05,Compressed Air Dryer,Air Dryer,2,Coal2,,,,,,,,
,Public,620HD07,Compressed Air Dryer,Air Dryer,2,Coal2,,,,,,,,
,Public,920HD10,Air Dryer,Air Dryer,2,Utilities2,,,,,,,,
,Public,920HD22,Air Dryer,Air Dryer,2,Utilities2,,,,,,,,
,Public,10BHO13,Smoot Hopper For Clay Level Switch,Hopper,1,RMA,,,,,,,,
,Public,114HO01,Limestone Hopper Level Switch Low,Hopper,1,Crusher,,,,,,,,
,Public,115HO11,Limestone Buffer Silo Level  Switch High High,Hopper,1,RMA,,,,,,,,
,Public,206HO01,Hopper For Iron Ore Level Switch High High,Hopper,1,RMA,,,,,,,,
,Public,206HO03,Hopper For Additive Level High High,Hopper,1,RMA,,,,,,,,
,Public,216HO01,Hopper For Raw Mix Level Switch High High,Hopper,1,RMA,,,,,,,,
,Public,216HO07,Hopper For Limestone Level Switch High High,Hopper,1,RMA,,,,,,,,
,Public,226HO01,Hopper For Raw Mix Level Switch High High,Hopper,1,RMA,,,,,,,,
,Public,226HO07,Hopper For Limestone Level Switch High High,Hopper,1,RMA,,,,,,,,
,Public,312HO45,Kiln Feed Bin,Hopper,1,Kiln1,,,,,,,,
,Public,315HO49,dust Bin,Hopper,1,Kiln1,,,,,,,,
,Public,317HO23,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO24,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO25,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO26,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO27,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO28,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO29,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO30,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO31,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO32,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO33,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO34,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO35,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO36,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO37,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO38,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO39,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO40,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO41,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO42,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO43,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO44,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO45,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,317HO46,Flapper Valve Limit Switch Close,Hopper,1,Cooler1,,,,,,,,
,Public,319HO23,Clinker Unburnt Level HH,Hopper,1,Cooler1,,,,,,,,
,Public,406HO01,Clinker Hopper Level  L,Hopper,1,CMB,,,,,,,,
,Public,406HO03,Gypsum Hopper A Level Switch HH,Hopper,1,CMB,,,,,,,,
,Public,406HO05,Additive Hopper Level Switch HH,Hopper,1,CMB,,,,,,,,
,Public,502HO19,Collecting Bin  Level Switch Hh,Hopper,1,Packing,,,,,,,,
,Public,502HO41,Collecting Bin  Level Switch Hh,Hopper,1,Packing,,,,,,,,
,Public,502HO63,Collecting Bin  Level Switch Hh,Hopper,1,Packing,,,,,,,,
,Public,502HO85,Collecting Bin  Level Switch Hh,Hopper,1,Packing,,,,,,,,
,Public,513HO01,Packer Feed Hopper  (3420A) Level Switch Hh,Hopper,1,Packing,,,,,,,,
,Public,523HO01,Packer Feed Hopper  (3420B) Level Switch Hh,Hopper,1,Packing,,,,,,,,
,Public,533HO01,Packer Feed Hopper  (3420C) Level Switch Hh,Hopper,1,Packing,,,,,,,,
,Public,543HO01,Packer Feed Hopper  (3420D) Level Switch Hh,Hopper,1,Packing,,,,,,,,
,Public,645HS13,Fuel Oil Pump,Pump,1,Cooler1,,,,,,,,
,Public,644HT01,Valve For Unloding Station  Heater,Heater,1,Utilities1,,,,,,,,
,Public,644HT03,Circulating Pump Heater,Heater,1,Utilities1,,,,,,,,
,Public,236HU54,Pump,Pump,2,RMC,,,,,,,,
,Public,236HU55,Pump,Pump,2,RMC,,,,,,,,
,Public,623HU10,Tensioning hydraulics,Pump,2,Coal2,,,,,,,,
