Id,Partition,Code,Description,Brand,BrandType,InstrumentType,SignalType,SupplyVoltage,Wiring,Communication,GalvanicIsolation,OperationalUnit,ScaleRange,LimitHH,LimitH,LimitL,LimitLL,Softawre,ExtraData
,Public,334DT05YT20,Gas Temperature At Mill Inlet 1 ,SIEMENS ,SITRANCE TF/ Local TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,C,0-500,0,0,250,400,,
,Public,334DT07YP10,Gas Pressure at Outlet Mill ,Endress+Hauser,Cerabar S PMC71,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-1000,-1000,-1000,-500,0,,
,Public,334DT07YT10,Gas Temperature at Outlet Mill ,SIEMENS ,SITRANCE TF/ Local TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,C,0-500,18,80,130,150,,
,Public,334DT08YP10,Gas Pressure At outlet Cyclone For DP,Endress+Hauser,Cerabar S PMC71,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-1200,-1200,-1200,-500,0,,
,Public,334DT08YP20,Cyclone Differential Pressure,Endress+Hauser,Deltabar S PMD70,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,0-100,0,0,100,100,,
,Public,334DT09YP10,Recirculation Fan Outlet Pressure,Endress+Hauser,Cerabar S PMC71,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-400,-200,-200,-8,0,,
,Public,416WF01YW10,Clinker Weigh Feeder Flow Rate,Schenck, DEM/MICROCONT FCO 421,,4…20mA,230V,4-wire,,,t/h,0-140,60,70,130,140,,
,Public,416WF03YW10,Gypsum Weigh Feeder Flow Rate,Schenck, DEM/MICROCONT FCO 421,,4…20mA,230V,4-wire,,,t/h,0-15,0,0,13,15,,
,Public,416WF05YW10,Additive Weigh Feeder Flow Rate,Schenck, DEM/MICROCONT FCO 421,,4…20mA,230V,4-wire,,,t/h,0-40,0,0,35,40,,
,Public,436DC11YP10,Bag Filter Differential Pressure,BOLDROCCHI ,control Filter Panel,Pressure Transmitter,4…20mA,230V,4-wire,,,dapa,0-300,0,0,129,170,,
